brand,model,year,mileage,condition,price
BMW,Hybrid,2018,91611,Good,16838.9
Tesla,Hybrid,2021,95681,Excellent,20931.9
BMW,Sedan,2021,60896,Excellent,24410.4
Toyota,SUV,2014,137757,Fair,2000.0
Toyota,SUV,2021,32836,Excellent,17216.4
Toyota,SUV,2023,90163,Good,14483.699999999999
Tesla,SUV,2018,85246,Good,22475.4
Tesla,Luxury,2015,48809,Good,16619.1
BMW,Luxury,2019,57185,Fair,21781.5
Toyota,Luxury,2014,32202,Fair,2000.0
Honda,Sedan,2015,118647,Good,2000.0
Honda,Luxury,2018,16137,Fair,9386.3
Ford,Hybrid,2016,108603,Good,2000.0
BMW,SUV,2016,48085,Good,23191.5
Ford,Hybrid,2015,57265,Excellent,2000.0
Toyota,Luxury,2015,83386,Good,2000.0
Toyota,Hybrid,2022,144831,Good,2516.8999999999996
Tesla,Luxury,2020,19347,Fair,27065.3
Tesla,SUV,2021,52057,Excellent,30294.3
Tesla,Sedan,2013,100287,Fair,8471.3
Honda,Sedan,2017,42314,Excellent,5268.599999999999
Ford,SUV,2011,7163,Good,4783.7
Tesla,Sedan,2023,138172,Good,19682.8
BMW,Hybrid,2022,68644,Excellent,25135.6
Honda,Hybrid,2023,118389,Excellent,6661.0999999999985
Ford,Hybrid,2012,38852,Fair,2000.0
Honda,Hybrid,2013,25886,Good,2000.0
Ford,Sedan,2011,119484,Fair,2000.0
Honda,Sedan,2019,112810,Excellent,2000.0
Tesla,SUV,2021,113635,Fair,24136.5
BMW,SUV,2011,129482,Excellent,7551.799999999999
Toyota,Sedan,2019,83138,Fair,4186.199999999999
Ford,Sedan,2020,129536,Fair,2000.0
Honda,Hybrid,2021,119491,Good,3550.8999999999996
BMW,Luxury,2023,79975,Excellent,25502.5
BMW,SUV,2023,144754,Excellent,24024.6
Honda,Sedan,2014,127003,Good,2000.0
BMW,Hybrid,2019,131281,Fair,14371.9
Honda,SUV,2015,18008,Excellent,9699.2
Honda,Hybrid,2020,105442,Excellent,3455.7999999999993
Tesla,SUV,2022,125567,Excellent,24443.3
Ford,SUV,2010,143149,Excellent,2000.0
Tesla,Hybrid,2020,27241,Excellent,26275.9
Tesla,Hybrid,2022,49170,Fair,27083.0
Ford,Hybrid,2020,68501,Excellent,7149.9
BMW,SUV,2015,49857,Excellent,21514.3
Toyota,Sedan,2018,95667,Good,2000.0
BMW,Luxury,2017,79893,Excellent,16510.7
Honda,SUV,2014,14296,Fair,8570.4
Toyota,Luxury,2017,143291,Good,2000.0
Toyota,Luxury,2020,146592,Fair,2000.0
BMW,Sedan,2015,42686,Good,17231.4
Ford,Sedan,2014,10074,Excellent,3992.6
Toyota,Hybrid,2012,95352,Excellent,2000.0
Ford,Sedan,2011,18002,Good,2000.0
Tesla,Sedan,2012,76381,Good,9361.9
Honda,SUV,2021,130222,Fair,7477.799999999999
Ford,Sedan,2017,63019,Good,3198.0999999999995
Toyota,Hybrid,2023,19504,Good,16549.6
Toyota,SUV,2021,73819,Excellent,13118.099999999999
Honda,Sedan,2016,79755,Excellent,2000.0
Toyota,Sedan,2017,110390,Excellent,2000.0
Honda,Hybrid,2019,142729,Excellent,2000.0
Honda,Hybrid,2018,103442,Excellent,2000.0
Honda,SUV,2014,112146,Good,2000.0
BMW,SUV,2011,105837,Excellent,9916.3
Ford,SUV,2014,67838,Excellent,3216.2
BMW,Hybrid,2013,96869,Fair,8813.1
Honda,SUV,2010,11420,Good,2858.0
Honda,Luxury,2012,46198,Fair,2000.0
BMW,Luxury,2012,42560,Fair,12744.0
Toyota,Hybrid,2021,16718,Good,13828.2
Ford,Luxury,2022,141888,Fair,2811.199999999999
Ford,Luxury,2020,108704,Excellent,3129.5999999999985
Tesla,Sedan,2019,116170,Good,15883.0
BMW,SUV,2023,79013,Good,30598.7
Ford,Sedan,2019,50942,Excellent,7405.799999999999
Tesla,SUV,2016,108248,Excellent,17175.199999999997
Tesla,Sedan,2021,69598,Good,23540.2
Ford,Sedan,2013,84454,Good,2000.0
BMW,Luxury,2012,54479,Good,11552.099999999999
Toyota,Luxury,2020,132448,Fair,2000.0
BMW,Luxury,2012,45425,Good,12457.5
Tesla,Sedan,2019,58807,Excellent,21619.3
Honda,Sedan,2022,84370,Fair,8563.0
Toyota,Hybrid,2013,54675,Excellent,2000.0
Honda,Hybrid,2020,72326,Good,6767.4
Honda,SUV,2015,149649,Excellent,2000.0
Honda,Luxury,2013,8531,Fair,2646.9
Honda,Luxury,2011,23918,Excellent,2000.0
Ford,Hybrid,2017,148904,Good,2000.0
Ford,Sedan,2014,26058,Good,2394.2
Ford,Luxury,2014,75051,Excellent,2000.0
BMW,Sedan,2012,71945,Good,9805.5
Toyota,Hybrid,2021,84363,Excellent,7063.699999999999
Ford,Sedan,2019,59797,Fair,6520.299999999999
Toyota,Hybrid,2022,46954,Good,12304.599999999999
Tesla,SUV,2011,131646,Excellent,7335.4
BMW,Hybrid,2017,13491,Excellent,23150.9
BMW,Sedan,2010,120761,Excellent,2000.0
Ford,SUV,2014,82376,Good,2000.0
BMW,Hybrid,2018,142449,Fair,11755.099999999999
Honda,SUV,2023,128833,Excellent,10616.699999999999
Tesla,Hybrid,2020,105165,Excellent,18483.5
Honda,Hybrid,2023,72374,Fair,11262.599999999999
Tesla,Sedan,2011,9620,Good,14538.0
Tesla,SUV,2023,46485,Good,33851.5
Toyota,Luxury,2022,33360,Fair,13664.0
Toyota,Hybrid,2020,143236,Excellent,2000.0
Tesla,Luxury,2020,6177,Fair,28382.3
Ford,Hybrid,2016,87531,Fair,2000.0
Toyota,Sedan,2011,37731,Good,2000.0
Tesla,Luxury,2011,89232,Fair,6576.799999999999
Ford,SUV,2015,64096,Excellent,5090.4
Honda,Hybrid,2022,136137,Good,3386.2999999999993
Honda,Luxury,2018,125470,Good,2000.0
Ford,Hybrid,2015,50546,Good,2000.0
BMW,Sedan,2018,45577,Excellent,21442.3
Tesla,Luxury,2011,50476,Good,10452.4
Tesla,SUV,2013,13704,Fair,22129.6
BMW,Luxury,2016,25262,Excellent,20473.8
Ford,Sedan,2020,115770,Excellent,2423.0
Ford,Sedan,2018,51675,Fair,5832.5
Ford,Hybrid,2018,76568,Good,3343.2
Tesla,Sedan,2017,54652,Excellent,19034.8
Toyota,Sedan,2013,42542,Good,2000.0
Ford,SUV,2013,22528,Excellent,6247.2
Tesla,Sedan,2011,66607,Fair,8839.3
Toyota,SUV,2018,27749,Fair,13225.1
Honda,SUV,2020,50411,Good,13958.9
BMW,Hybrid,2014,35138,Excellent,16486.2
Toyota,Hybrid,2019,128970,Excellent,2000.0
Toyota,Sedan,2021,17339,Excellent,13766.1
Toyota,SUV,2010,37487,Excellent,2000.0
Ford,SUV,2017,21218,Fair,12378.2
BMW,SUV,2011,144383,Good,6061.699999999999
Ford,SUV,2013,13377,Fair,7162.3
Honda,Hybrid,2013,61440,Good,2000.0
Ford,SUV,2019,106850,Fair,6815.0
Ford,Luxury,2011,81055,Excellent,2000.0
BMW,SUV,2017,138863,Good,15613.699999999999
BMW,Hybrid,2015,145717,Fair,6928.299999999999
Toyota,Sedan,2023,116492,Excellent,6850.799999999999
Honda,SUV,2022,82763,Good,13723.699999999999
Toyota,Hybrid,2020,130552,Good,2000.0
Honda,Hybrid,2014,28043,Good,2195.7
Honda,SUV,2013,13192,Fair,7180.8
BMW,SUV,2013,114699,Fair,12030.099999999999
Tesla,Hybrid,2011,74758,Excellent,8024.2
Tesla,SUV,2020,52741,Excellent,28725.9
BMW,Sedan,2023,42468,Fair,29253.2
Tesla,SUV,2019,124059,Excellent,20094.1
Toyota,Luxury,2019,102221,Fair,2277.8999999999996
Honda,Luxury,2019,59260,Excellent,6574.0
Toyota,SUV,2023,24624,Good,21037.6
Honda,Luxury,2023,17400,Excellent,16760.0
Honda,Sedan,2017,93414,Good,2000.0
Toyota,SUV,2020,84643,Good,10535.699999999999
Ford,SUV,2012,126284,Good,2000.0
