location,propertyType,area,bedrooms,bathrooms,price
Downtown,Apartment,2991,4,3,638650
Downtown,Apartment,3536,3,1,710400
Suburbs,Studio,4436,5,2,765400
Downtown,Penthouse,3766,5,3,964900
Suburbs,Studio,3127,4,3,559050
Suburbs,Apartment,3467,3,3,600050
Countryside,Penthouse,2221,4,2,623150
Countryside,Villa,1408,2,2,481200
Suburbs,Villa,3891,3,2,863650
Uptown,Apartment,1185,3,1,357750
Countryside,Apartment,4898,5,2,834700
Uptown,Villa,1489,3,3,603350
Downtown,Penthouse,2089,2,3,683350
Uptown,Villa,3595,4,2,929250
Uptown,Villa,2878,1,2,791700
Countryside,Villa,3598,3,3,819700
Countryside,Apartment,4344,3,3,731600
Uptown,Apartment,4562,1,1,844300
Suburbs,Penthouse,3652,2,2,817800
Uptown,Studio,4571,5,1,885650
Suburbs,Apartment,4673,3,1,780950
Uptown,Penthouse,924,3,2,518600
Downtown,Villa,2194,2,1,699100
Downtown,Studio,748,3,2,292200
Countryside,Apartment,3730,3,3,639500
Countryside,Studio,1489,3,1,303350
Downtown,Apartment,3142,2,1,641300
Downtown,Apartment,1043,3,1,336450
Uptown,Studio,650,5,3,297500
Uptown,Apartment,4221,2,3,803150
Uptown,Villa,2204,4,3,720600
Suburbs,Villa,4535,4,2,970250
Uptown,Studio,1363,5,2,404450
Suburbs,Apartment,1319,3,2,277850
Downtown,Studio,2996,4,2,639400
Countryside,Studio,2237,5,2,435550
Downtown,Penthouse,1217,2,2,552550
Downtown,Apartment,3922,1,2,748300
Suburbs,Studio,4735,3,2,790250
Uptown,Apartment,3999,2,3,769850
Countryside,Apartment,2547,5,1,482050
Countryside,Apartment,4979,5,2,846850
Uptown,Studio,1331,4,2,389650
Countryside,Apartment,3567,1,3,595050
Downtown,Penthouse,1849,3,1,657350
Countryside,Studio,3455,5,1,618250
Uptown,Studio,2745,2,3,581750
Downtown,Villa,4518,4,3,1067700
Countryside,Villa,3360,5,1,804000
Suburbs,Villa,3482,4,3,812300
Countryside,Villa,1783,1,2,527450
Suburbs,Villa,1458,5,3,518700
Uptown,Villa,4927,4,3,1129050
Suburbs,Studio,797,4,1,209550
Countryside,Penthouse,2051,4,2,597650
Countryside,Penthouse,805,2,2,390750
Suburbs,Apartment,3971,2,2,665650
Downtown,Villa,4484,2,1,1042600
Uptown,Penthouse,2005,4,2,690750
Countryside,Studio,3642,2,1,616300
Countryside,Villa,3653,2,1,817950
Countryside,Apartment,3274,1,1,551100
Uptown,Apartment,4544,1,3,841600
Suburbs,Penthouse,4251,3,1,917650
Downtown,Villa,4281,3,1,1022150
Countryside,Apartment,902,5,2,235300
Uptown,Villa,1445,2,3,586750
Suburbs,Studio,2537,3,3,460550
Countryside,Apartment,3323,2,3,568450
Downtown,Villa,2904,4,2,825600
Suburbs,Apartment,2254,1,1,398100
Countryside,Apartment,1439,4,3,305850
Suburbs,Apartment,2153,5,1,422950
Downtown,Studio,1282,4,2,382300
Uptown,Penthouse,4799,4,1,1109850
Downtown,Penthouse,4987,4,3,1138050
Countryside,Villa,3353,2,3,772950
Uptown,Apartment,1987,3,2,478050
Suburbs,Studio,2112,1,3,376800
Downtown,Studio,2207,5,3,531050
Uptown,Villa,4647,2,1,1067050
Uptown,Studio,3544,5,2,731600
Uptown,Apartment,3918,1,2,747700
Suburbs,Villa,4166,4,3,914900
Downtown,Studio,2025,4,2,493750
Countryside,Villa,3646,2,3,816900
Uptown,Apartment,2402,1,1,520300
Uptown,Studio,4155,1,3,783250
Uptown,Apartment,1581,4,3,427150
Countryside,Studio,2987,1,1,508050
Uptown,Studio,3652,3,1,727800
Suburbs,Villa,1414,5,1,512100
Uptown,Villa,803,4,1,510450
Uptown,Apartment,4716,2,2,877400
Countryside,Studio,961,3,2,224150
Downtown,Penthouse,3009,5,1,851350
Suburbs,Penthouse,815,1,2,382250
Countryside,Villa,3916,1,1,847400
Countryside,Villa,897,1,1,394550
Countryside,Apartment,549,4,3,172350
Uptown,Penthouse,3902,1,3,945300
Uptown,Villa,2783,2,1,787450
Suburbs,Penthouse,4543,3,1,961450
Suburbs,Apartment,3600,4,1,630000
Downtown,Villa,3763,3,1,944450
Countryside,Studio,4120,5,1,718000
Uptown,Penthouse,3505,5,2,925750
Suburbs,Villa,1466,2,3,489900
Suburbs,Villa,2223,2,2,603450
Downtown,Villa,1590,4,1,628500
Uptown,Apartment,2071,2,2,480650
Downtown,Villa,3206,1,3,840900
Uptown,Studio,3115,1,1,627250
Uptown,Apartment,2589,4,1,578350
Countryside,Villa,2295,1,2,604250
Countryside,Penthouse,3367,5,3,805050
Suburbs,Villa,621,1,1,353150
Downtown,Penthouse,1685,4,2,642750
Suburbs,Penthouse,4074,3,3,891100
Uptown,Villa,631,1,2,454650
Countryside,Villa,4876,5,3,1031400
Countryside,Villa,1951,4,1,582650
Suburbs,Apartment,1668,4,3,340200
Suburbs,Villa,2763,2,1,684450
Uptown,Penthouse,1048,4,3,547200
Downtown,Apartment,3877,3,1,761550
Countryside,Villa,635,5,1,395250
Uptown,Penthouse,1778,5,1,666700
Suburbs,Villa,2627,1,1,654050
Downtown,Apartment,4693,1,2,863950
Uptown,Studio,2356,1,2,513400
Downtown,Studio,2587,4,1,578050
Countryside,Penthouse,1811,2,1,541650
Downtown,Studio,3659,5,1,748850
Countryside,Studio,4553,2,2,752950
Uptown,Apartment,1800,2,2,440000
Countryside,Studio,3824,3,1,653600
Suburbs,Villa,3086,5,2,762900
Countryside,Villa,1827,1,3,534050
Uptown,Studio,586,4,3,277900
Uptown,Penthouse,4100,4,3,1005000
Countryside,Villa,1368,3,2,485200
Suburbs,Villa,3921,2,3,858150
Suburbs,Penthouse,4233,2,2,904950
Countryside,Apartment,2525,3,3,458750
Countryside,Studio,1045,5,1,256750
Countryside,Villa,2439,5,3,665850
Uptown,Villa,1819,3,1,652850
Suburbs,Studio,2821,1,2,483150
Countryside,Penthouse,4790,5,2,1018500
Uptown,Studio,774,4,2,306100
Uptown,Penthouse,3777,1,2,926550
